pid,author,location,label,_date,description,object_type,order,layout,collection,thumbnail,full,manifest
img1,Abdul Mughees Chaudhri,"West Chester, Pennsylvania",Basketball Game,2011,ISCC youth playing basketball in the parking lot of the ISCC,Property,0,iscc_item,iscc,"/img/derivatives/iiif/images/img1/full/250,/0/default.jpg","/img/derivatives/iiif/images/img1/full/1140,/0/default.jpg",/img/derivatives/iiif/img1/manifest.json
img2,Abdul Mughees Chaudhri,"West Chester, Pennsylvania",Front of ISCC,2011,Image of the front of the ISCC main building,Buildings,1,iscc_item,iscc,"/img/derivatives/iiif/images/img2/full/250,/0/default.jpg","/img/derivatives/iiif/images/img2/full/1140,/0/default.jpg",/img/derivatives/iiif/img2/manifest.json
img3,Abdul Mughees Chaudhri,"West Chester, Pennsylvania",Interfaith Solidarity,2019,An interfaith gathering in March 2019 in the wake of the Christchurch mosque shootings,Interfaith,2,iscc_item,iscc,"/img/derivatives/iiif/images/img3/full/250,/0/default.jpg","/img/derivatives/iiif/images/img3/full/1140,/0/default.jpg",/img/derivatives/iiif/img3/manifest.json
img4,Abdul Mughees Chaudhri,"West Chester, Pennsylvania",Playground,2011,ISCC youth swinging and climbing on a jungle gym,Property,3,iscc_item,iscc,"/img/derivatives/iiif/images/img4/full/250,/0/default.jpg","/img/derivatives/iiif/images/img4/full/1140,/0/default.jpg",/img/derivatives/iiif/img4/manifest.json
img5,Max Johnson Dugan,"West Chester, Pennsylvania",Walking the Walk,2018,A youth interfaith gathering in 2018 that was part of Interfaith Philadelphia's Walking the Walk program,Interfaith,4,iscc_item,iscc,"/img/derivatives/iiif/images/img5/full/250,/0/default.jpg","/img/derivatives/iiif/images/img5/full/1140,/0/default.jpg",/img/derivatives/iiif/img5/manifest.json
img6,Max Johnson Dugan,"West Chester, Pennsylvania",Trees and North Wall,2021,The trees and the north wall of the ISCC property,Property,5,iscc_item,iscc,"/img/derivatives/iiif/images/img6/full/250,/0/default.jpg","/img/derivatives/iiif/images/img6/full/1140,/0/default.jpg",/img/derivatives/iiif/img6/manifest.json
img7,Max Johnson Dugan,"West Chester, Pennsylvania",Trees and Driveway,2021,A view from the northwest corner of the lot toward the parking lot and the main building,Property,6,iscc_item,iscc,"/img/derivatives/iiif/images/img7/full/250,/0/default.jpg","/img/derivatives/iiif/images/img7/full/1140,/0/default.jpg",/img/derivatives/iiif/img7/manifest.json
img8,Max Johnson Dugan,"West Chester, Pennsylvania",From the Parking Lot toward the Road,2021,A view from the eastern edge of the parking lot looking toward Pottstown Pike,Property,7,iscc_item,iscc,"/img/derivatives/iiif/images/img8/full/250,/0/default.jpg","/img/derivatives/iiif/images/img8/full/1140,/0/default.jpg",/img/derivatives/iiif/img8/manifest.json
img9,Max Johnson Dugan,"West Chester, Pennsylvania",The Eastern Buildings,2021,A view from the eastern edge of the parking lot looking toward the shed and the Sunday School building,Property,8,iscc_item,iscc,"/img/derivatives/iiif/images/img9/full/250,/0/default.jpg","/img/derivatives/iiif/images/img9/full/1140,/0/default.jpg",/img/derivatives/iiif/img9/manifest.json
img10,Max Johnson Dugan,"West Chester, Pennsylvania",The Sign,2021,A view of the ISCC's sign on Pottstown Pike,Buildings,9,iscc_item,iscc,"/img/derivatives/iiif/images/img10/full/250,/0/default.jpg","/img/derivatives/iiif/images/img10/full/1140,/0/default.jpg",/img/derivatives/iiif/img10/manifest.json
img11,Max Johnson Dugan,"West Chester, Pennsylvania",The Western Treeline,2021,The western treeline of the property and the edge of the parking lot,Property,10,iscc_item,iscc,"/img/derivatives/iiif/images/img11/full/250,/0/default.jpg","/img/derivatives/iiif/images/img11/full/1140,/0/default.jpg",/img/derivatives/iiif/img11/manifest.json
img12,Max Johnson Dugan,"West Chester, Pennsylvania",Traffic Cones,2021,"Three traffic cones, the western treeline and one of the two playgrounds on the property",Property,11,iscc_item,iscc,"/img/derivatives/iiif/images/img12/full/250,/0/default.jpg","/img/derivatives/iiif/images/img12/full/1140,/0/default.jpg",/img/derivatives/iiif/img12/manifest.json
img13,Max Johnson Dugan,"West Chester, Pennsylvania",Southwest Corner,2021,"The southwest corner of the property, with one of the old basketball hoops in the brush",Property,12,iscc_item,iscc,"/img/derivatives/iiif/images/img13/full/250,/0/default.jpg","/img/derivatives/iiif/images/img13/full/1140,/0/default.jpg",/img/derivatives/iiif/img13/manifest.json
img14,Max Johnson Dugan,"West Chester, Pennsylvania",First Basketball Hoop,2021,The first of two basketball hoops in the brush in the southwest corner of the property,Property,13,iscc_item,iscc,"/img/derivatives/iiif/images/img14/full/250,/0/default.jpg","/img/derivatives/iiif/images/img14/full/1140,/0/default.jpg",/img/derivatives/iiif/img14/manifest.json
img15,Max Johnson Dugan,"West Chester, Pennsylvania",From the Southwest Corner toward the Property,2021,A view from the southwest corner toward the rest of the property,Property,14,iscc_item,iscc,"/img/derivatives/iiif/images/img15/full/250,/0/default.jpg","/img/derivatives/iiif/images/img15/full/1140,/0/default.jpg",/img/derivatives/iiif/img15/manifest.json
img16,Max Johnson Dugan,"West Chester, Pennsylvania",Playground and the Sunday School,2021,A view from the eastern edge of the parking lot toward the playground and the Sunday School building,Property,15,iscc_item,iscc,"/img/derivatives/iiif/images/img16/full/250,/0/default.jpg","/img/derivatives/iiif/images/img16/full/1140,/0/default.jpg",/img/derivatives/iiif/img16/manifest.json
img17,Max Johnson Dugan,"West Chester, Pennsylvania",Entrances,2021,"A view of the two entrances, one for women and one for men, and a sign promoting Ramadan charity",Buildings,16,iscc_item,iscc,"/img/derivatives/iiif/images/img17/full/250,/0/default.jpg","/img/derivatives/iiif/images/img17/full/1140,/0/default.jpg",/img/derivatives/iiif/img17/manifest.json
